Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time
paleo,chocolate pumpkin pie,central europe,44.05,429.69,162.78,2022-10-16,17:20:23
paleo,creamy alfredo,american,16.48,32.46,91.36,2022-10-16,17:20:23
paleo,blini,eastern europe,15.5,12.78,23.29,2022-10-16,17:20:23
paleo,tzimmes,kosher,16.11,236.88,3.86,2022-10-16,17:20:23
paleo,pumpkin bars,american,39.73,169.01,117.95,2022-10-16,17:20:23
paleo,fruitcake,american,82.45,271.48,204.91,2022-10-16,17:20:23
paleo,chocolate frosting,american,14.19,85.18,150.26,2022-10-16,17:20:23
paleo,crepes,french,27.38,9.57,61.87,2022-10-16,17:20:29
paleo,peach crisp,french,39.58,126.88,97.83,2022-10-16,17:20:29
paleo,pumpkin bars,american,36.27,182.51,105.1,2022-10-16,17:20:29
paleo,honey cake,american,87.32,258.25,259.24,2022-10-16,17:20:29
paleo,carrot soup,american,27.17,116.73,125.14,2022-10-16,17:20:29
paleo,fruitcake,american,85.97,271.68,207.57,2022-10-16,17:20:29
paleo,best chili,american,193.11,83.93,227.24,2022-10-16,17:20:36
paleo,perfect pizza,italian,123.47,75.65,235.87,2022-10-16,17:20:36
paleo,grain free cauliflower fried rice,chinese,37.54,56.92,53.88,2022-10-16,17:20:36
paleo,chocolate frosting,american,7.27,112.19,269.91,2022-10-16,17:20:36
paleo,eggplant lasagna,italian,172.17,186.26,467.17,2022-10-16,17:20:36
paleo,pecan tart crust,american,20.15,24.96,111.99,2022-10-16,17:20:36
paleo,shepherd s pie,american,189.35,143.25,300.66,2022-10-16,17:20:36
paleo,pie crust,american,56.39,43.01,143.87,2022-10-16,17:20:36
paleo,mug cake,british,10.48,19.56,12.5,2022-10-16,17:20:36
paleo,flourless chocolate cake,american,83.82,384.27,324.34,2022-10-16,17:20:36
paleo,mini egg bites,american,118.36,6.54,61.57,2022-10-16,17:20:36
paleo,egg free macaroons,french,9.91,99.09,110.51,2022-10-16,17:20:36
paleo,raw chocolate bites,american,46.07,261.6,147.5,2022-10-16,17:20:36
paleo,mushroom soup,french,60.19,112.58,52.61,2022-10-16,17:20:43
paleo,birthday cake,american,68.21,199.96,161.13,2022-10-16,17:20:43
paleo,avocado tuna salad,mexican,32.45,24.27,31.05,2022-10-16,17:20:43
paleo,honey cake,eastern europe,90.83,258.46,261.91,2022-10-16,17:20:43
paleo,pumpkin bars,american,49.0,412.09,116.03,2022-10-16,17:20:43
paleo,perfect baked salmon,nordic,161.95,1.17,160.83,2022-10-16,17:20:43
paleo,chocolate mousse,french,20.23,126.01,153.36,2022-10-16,17:20:43
paleo,crab avocado temaki,caribbean,88.79,32.66,55.58,2022-10-16,17:20:50
paleo,red cabbage slaw tangy carrot ginger dressing,american,9.65,42.63,83.92,2022-10-16,17:20:50
paleo,prosciutto egg cups,italian,80.95,6.34,113.98,2022-10-16,17:20:50
paleo,chicken adobo,mediterranean,123.17,61.52,107.7,2022-10-16,17:20:50
paleo,cranberry apple stuffing,american,47.89,285.93,93.75,2022-10-16,17:20:50
paleo,dirty rice,caribbean,26.68,80.75,35.37,2022-10-16,17:20:50
paleo,slow cooker meatballs,eastern europe,145.6,102.25,144.33,2022-10-16,17:20:50
paleo,delicata squash stuffed spiced meat tomatoes serves side of sauteed chard,italian,100.74,92.07,360.57,2022-10-16,17:20:50
paleo,pork chili verde,american,107.7,68.02,28.69,2022-10-16,17:20:50
paleo,steak egg salad,american,65.19,17.09,69.97,2022-10-16,17:20:50
paleo,beef broccoli,mediterranean,102.5,38.41,98.85,2022-10-16,17:20:50
paleo,party pork carnitas,mexican,268.92,128.88,334.28,2022-10-16,17:20:50
paleo,pecan tart crust,american,21.03,25.01,112.66,2022-10-16,17:20:50
paleo,shepherds pie,american,189.35,143.25,300.66,2022-10-16,17:20:50
paleo,vanilla birthday cake,french,71.11,159.31,147.25,2022-10-16,17:20:56
paleo,egg free macaroons,french,10.16,105.7,110.51,2022-10-16,17:20:56
paleo,raw chocolate bites,american,46.07,261.6,147.5,2022-10-16,17:20:56
paleo,perfect pie crust,american,43.97,104.37,160.83,2022-10-16,17:20:56
paleo,practical mint chip truffles,american,3.76,23.94,80.65,2022-10-16,17:20:56
paleo,cindys harvest chili,american,210.45,139.56,272.52,2022-10-16,17:20:56
paleo,instant pot pork tenderloin,french,362.76,16.83,64.04,2022-10-16,17:20:56
paleo,pecan crusted chicken everydaypaleo com,american,258.66,55.59,103.91,2022-10-16,17:20:56
paleo,entertain meatloaf style,american,197.94,70.1,110.07,2022-10-16,17:20:56
paleo,semi homemade spaghetti meatballs,italian,128.54,366.81,166.72,2022-10-16,17:20:56
paleo,herb gravy,french,23.56,39.05,42.25,2022-10-16,17:21:04
paleo,homemade mayo whole friendly,italian,2.81,1.11,112.61,2022-10-16,17:21:04
paleo,vegan pesto stuffed mushrooms,american,10.73,15.5,49.29,2022-10-16,17:21:04
paleo,un stuffed cabbage soup,italian,141.27,55.82,198.73,2022-10-16,17:21:04
paleo,sweet potato chili friendly,american,98.56,191.3,176.93,2022-10-16,17:21:04
paleo,dirty cauliflower rice,mediterranean,26.68,80.75,35.37,2022-10-16,17:21:04
paleo,spicy pumpkin muffins,british,121.84,413.93,317.39,2022-10-16,17:21:04
paleo,cauliflower bacon fried rice,chinese,28.76,50.01,48.09,2022-10-16,17:21:04
paleo,beef sweet potato stew,american,200.82,153.82,102.62,2022-10-16,17:21:04
paleo,comfort foods poached pears,french,9.82,214.27,3.04,2022-10-16,17:21:04
paleo,madras chicken salad,mediterranean,150.18,41.36,123.75,2022-10-16,17:21:04
paleo,slow cooker cheater pork stew,french,244.29,69.44,249.9,2022-10-16,17:21:04
paleo,strawberry rhubarb crisp its,american,32.24,250.87,139.25,2022-10-16,17:21:04
paleo,pasta salad avocado oil vinaigrette,french,31.23,74.97,116.67,2022-10-16,17:21:04
paleo,diet s salmon caesar salad,nordic,155.95,49.31,150.25,2022-10-16,17:21:04
paleo,eggplant ricotta stacks from nom nom,italian,32.32,157.39,194.11,2022-10-16,17:21:11
paleo,southwest cowboy chili from nom nom,american,430.2,138.37,178.17,2022-10-16,17:21:11
paleo,swiss s homemade italian chorizo sausage,italian,1273.61,83.34,1608.54,2022-10-16,17:21:11
paleo,doritos toast will scratch your snack itch,american,32.75,22.67,2.45,2022-10-16,17:21:11
paleo,pumpkin coconut maple custard cups,american,36.0,142.79,107.74,2022-10-16,17:21:11
paleo,spaghetti squash amped up meatballs,italian,128.33,154.22,125.77,2022-10-16,17:21:11
paleo,swiss s bugs bunny hasenpfeffer stew,nordic,65.78,96.23,130.86,2022-10-16,17:21:11
paleo,kitchen s honey mustard chicken thighs,french,152.56,53.59,205.36,2022-10-16,17:21:11
paleo,stupid s kickin bbq shredded chicken,american,283.7,78.55,252.1,2022-10-16,17:21:11
paleo,friendly roasted butternut squash crispy sage leaves,nordic,6.45,66.8,42.58,2022-10-16,17:21:11
paleo,orange sriracha chicken,south east asian,104.17,82.97,64.82,2022-10-16,17:21:11
paleo,overnight cherry chia seed pudding gluten free vegan,american,12.77,112.92,56.84,2022-10-16,17:21:11
paleo,pumpkin gingerbread cake maple vanilla frosting,american,73.83,185.59,307.46,2022-10-16,17:21:11
paleo,sweet potato pork thanksgiving stuffing gluten free,american,197.91,312.15,371.5,2022-10-16,17:21:11
paleo,comfort food here s creamy shrimp fra diavolo,italian,102.47,51.64,54.82,2022-10-16,17:21:11
paleo,instant pot buffalo sweet potato soup vegan whole gluten free,american,14.26,79.07,109.53,2022-10-16,17:21:11
paleo,dill butternut squash fries,american,7.68,89.2,14.38,2022-10-16,17:21:11
paleo,crispy sweet potato fries,south american,4.4,56.19,28.84,2022-10-16,17:21:18
paleo,rosemary garlic parsnip mash,american,3.34,48.53,13.6,2022-10-16,17:21:18
paleo,four layer beef bacon casserole,american,213.63,149.66,298.56,2022-10-16,17:21:18
paleo,boston baked beef,american,135.99,193.85,232.95,2022-10-16,17:21:18
paleo,nutella brownie truffles,french,12.21,151.95,98.75,2022-10-16,17:21:18
paleo,best ever bars,american,62.76,194.9,266.67,2022-10-16,17:21:18
paleo,salmon cakes,nordic,86.31,11.17,66.45,2022-10-16,17:21:18
paleo,crockpot italian chicken peppers,italian,86.07,84.94,43.04,2022-10-16,17:21:18
paleo,herbed rack of lamb,middle eastern,35.36,6.76,133.82,2022-10-16,17:21:18
paleo,moroccan braised chicken kale,middle eastern,283.65,89.99,306.29,2022-10-16,17:21:18
paleo,roasted tomato soup,italian,39.32,88.7,50.97,2022-10-16,17:21:18
paleo,sweet plantain guacamole,south american,19.18,134.0,138.71,2022-10-16,17:21:18
paleo,turkey spaghetti zoodles,american,122.69,96.81,51.15,2022-10-16,17:21:18
paleo,celery leaf fennel poached salmon,nordic,32.41,17.25,24.49,2022-10-16,17:21:18
paleo,turkey veggie meatballs spaghetti squash,american,122.78,147.94,51.84,2022-10-16,17:21:24
paleo,asian sesame chicken broccoli,chinese,107.67,31.95,70.25,2022-10-16,17:21:24
paleo,cauliflower fried rice,chinese,46.62,82.76,53.47,2022-10-16,17:21:24
paleo,khoresht lubia sabz persian green bean stew,american,121.29,69.51,49.55,2022-10-16,17:21:24
paleo,cinnamon chocolate swirl banana bread,american,68.73,266.84,183.04,2022-10-16,17:21:24
paleo,pan gravy,british,0.32,6.54,11.65,2022-10-16,17:21:24
paleo,salsa fresca estilo siete,mexican,4.94,33.55,1.11,2022-10-16,17:21:24
paleo,ginger snap pumpkin butter cookie sandwiches,american,97.78,239.78,356.65,2022-10-16,17:21:24
paleo,cauliflower soup drizzled white truffle oil,french,41.9,64.07,37.95,2022-10-16,17:21:24
paleo,apple pumpkin soup,american,9.95,64.53,19.56,2022-10-16,17:21:24
paleo,vegan pad thai supreme,american,97.94,217.78,168.32,2022-10-16,17:21:24
paleo,beef chorizo con huevo estilo siete,mediterranean,133.92,12.88,92.88,2022-10-16,17:21:24
paleo,angel food cake,american,55.09,283.94,5.02,2022-10-16,17:21:24
paleo,asian chicken salad,asian,69.61,44.66,128.44,2022-10-16,17:21:24
paleo,roasted beef tenderloin,american,349.89,10.57,130.34,2022-10-16,17:21:24
paleo,kale artichoke pecorino salad,mediterranean,36.98,40.42,58.68,2022-10-16,17:21:24
paleo,spicy thai peanut kelp noodle pad thai,south east asian,92.67,357.52,68.86,2022-10-16,17:21:24
paleo,almond meal encrusted chicken nuggets real food healing from mee tracy mccormick,american,191.06,25.06,137.85,2022-10-16,17:21:24
paleo,artichoke francaise,mediterranean,35.81,127.03,62.87,2022-10-16,17:21:31
paleo,braised short rib bolognese,italian,242.69,59.62,607.18,2022-10-16,17:21:31
paleo,maialinos olive oil cake adapted by becca fox,american,72.45,479.49,468.3,2022-10-16,17:21:31
paleo,homemade ravioli ricotta cheese spinach filling,italian,118.65,300.0,107.45,2022-10-16,17:21:31
paleo,boneless short ribs on bge,french,392.64,12.51,472.92,2022-10-16,17:21:31
paleo,ribollita,italian,66.67,180.22,111.67,2022-10-16,17:21:31
paleo,pear apple coffeecake walnut topping,british,68.86,309.13,384.74,2022-10-16,17:21:31
paleo,artichoke perfect asparagus salad lemony herbed vinaigrette,mediterranean,22.61,68.6,103.89,2022-10-16,17:21:31
paleo,indian spiced broccoli potato hash,nordic,9.39,47.36,10.47,2022-10-16,17:21:31
paleo,vegan dark chocolate coconut tart,american,32.24,221.1,103.54,2022-10-16,17:21:31
paleo,pork charred brussels sprouts chile lime sauce,south american,145.56,240.17,89.14,2022-10-16,17:21:31
paleo,apple fennel casserole coconut turmeric twist,italian,5.6,46.5,18.34,2022-10-16,17:21:31
paleo,slow cooker osso buco stew,italian,211.11,94.79,61.46,2022-10-16,17:21:31
paleo,vegan coconut cream tart white peaches blueberries,american,39.45,285.88,109.49,2022-10-16,17:21:31
paleo,spiced harvest cake,british,65.92,455.58,158.29,2022-10-16,17:21:31
paleo,meenut butter sandwich on bread,american,0.93,3.08,24.31,2022-10-16,17:21:38
paleo,low carb egg wrap,american,16.71,28.5,15.85,2022-10-16,17:21:38
paleo,nutella banana ice cream,american,7.86,186.18,30.1,2022-10-16,17:21:38
paleo,whole pesto chicken salad,american,176.97,10.7,206.48,2022-10-16,17:21:38
paleo,elvis sandwich,american,18.72,68.14,54.08,2022-10-16,17:21:38
paleo,simple reese s cups,american,69.56,157.94,257.36,2022-10-16,17:21:38
paleo,meatloaf,american,216.95,203.73,178.18,2022-10-16,17:21:38
paleo,nacho casserole,mexican,156.83,88.03,167.6,2022-10-16,17:21:38
paleo,simple coleslaw dressing,mediterranean,6.76,17.01,89.82,2022-10-16,17:21:38
paleo,bread stuffing,american,54.96,208.13,49.2,2022-10-16,17:21:44
paleo,deviled egg,french,32.74,3.08,69.22,2022-10-16,17:21:44
paleo,peppermint bark,american,30.23,191.35,235.63,2022-10-16,17:21:44
paleo,chipotle dipping sauce,mexican,2.14,15.79,116.27,2022-10-16,17:21:44
paleo,wrap carne asada,mexican,159.24,75.82,62.53,2022-10-16,17:21:44
paleo,homemade protein bars,american,368.04,500.49,210.84,2022-10-16,17:21:44
paleo,tzatziki,mediterranean,2.82,17.07,13.93,2022-10-16,17:21:44
paleo,pecan pie bars,american,105.25,594.23,700.42,2022-10-16,17:21:44
paleo,loaded cauliflower nachos,mexican,52.93,75.7,131.7,2022-10-16,17:21:44
paleo,gluten free meatloaf,eastern europe,170.21,136.35,196.93,2022-10-16,17:21:44
paleo,broccoli salad,american,22.75,124.99,146.91,2022-10-16,17:21:44
paleo,healthy marble cake,american,42.18,245.32,90.32,2022-10-16,17:21:44
paleo,deviled eggs,french,87.75,10.06,163.03,2022-10-16,17:21:51
paleo,meatball sub,american,57.04,62.66,77.65,2022-10-16,17:21:51
paleo,egg salad,american,35.77,30.22,88.57,2022-10-16,17:21:51
paleo,caramel caffe latte gf dairy free,american,3.28,32.7,15.37,2022-10-16,17:21:51
paleo,smoky deviled eggs,french,34.1,8.47,69.53,2022-10-16,17:21:51
paleo,barbecue beef bacon,american,114.04,148.84,128.75,2022-10-16,17:21:51
paleo,pad thai zucchini noodles,south east asian,3.5,40.81,0.36,2022-10-16,17:21:51
paleo,sunbutter cups,french,0.1,32.29,27.63,2022-10-16,17:21:51
paleo,quiche cups,french,59.38,43.71,82.41,2022-10-16,17:21:51
paleo,pecan pie,american,41.28,497.12,285.89,2022-10-16,17:21:51
paleo,smoked tuna salad,american,24.83,19.77,90.32,2022-10-16,17:21:51
paleo,lemon mousse,french,17.82,77.84,84.12,2022-10-16,17:21:58
paleo,aioli salad dressing,mediterranean,0.53,2.32,44.57,2022-10-16,17:21:58
paleo,flourless chocolate cake,american,80.48,404.46,410.21,2022-10-16,17:21:58
paleo,flourless chocolate cake,american,55.16,123.66,244.31,2022-10-16,17:21:58
paleo,chicken salad dates walnuts whole,mediterranean,97.63,88.59,98.0,2022-10-16,17:21:58
paleo,blackberry muffins,american,43.48,81.37,88.44,2022-10-16,17:21:58
paleo,crockpot cashew chicken,italian,165.31,78.63,220.89,2022-10-16,17:21:58
paleo,blackberry instant pot cobbler,french,33.01,287.56,114.66,2022-10-16,17:21:58
paleo,banana bread french toast,french,21.23,203.11,42.55,2022-10-16,17:21:58
paleo,three ingredient chocolate truffles,french,23.43,183.78,200.78,2022-10-16,17:21:58
paleo,toasted egg fiesta wrap ketogenic,american,13.92,32.74,26.53,2022-10-16,17:21:58
paleo,beef stroganoff,eastern europe,215.13,36.63,68.05,2022-10-16,17:21:58
paleo,whole classic egg salad,american,61.5,8.58,184.92,2022-10-16,17:21:58
paleo,meatloaf bacon,american,203.61,23.57,166.41,2022-10-16,17:21:58
paleo,gluten free beef tomato chinese style option,chinese,107.83,56.13,81.39,2022-10-16,17:21:58
paleo,buffalo ranch chicken salad whole compliant,american,145.57,27.22,152.88,2022-10-16,17:22:05
paleo,crock pot pulled pork,american,255.11,99.29,170.32,2022-10-16,17:22:05
paleo,papaya chicken wrap,british,40.75,33.63,35.28,2022-10-16,17:22:05
paleo,vegan enchilada casserole,american,96.62,331.56,21.46,2022-10-16,17:22:05
paleo,blueberry almond mug cake gluten free,american,14.22,33.55,34.47,2022-10-16,17:22:05
paleo,bang bang shrimp,japanese,91.88,3.34,163.16,2022-10-16,17:22:05
paleo,creamy roasted sesame dressing whole,mediterranean,3.3,13.24,57.69,2022-10-16,17:22:05
paleo,ranch dressing dip,american,1.77,5.8,190.1,2022-10-16,17:22:05
paleo,smoked salmon wrap bites,nordic,34.01,82.25,27.63,2022-10-16,17:22:05
paleo,meatloaf,american,283.04,85.83,108.96,2022-10-16,17:22:05
paleo,dairy free ranch dressing,american,5.63,10.85,226.21,2022-10-16,17:22:05
paleo,banana chip muffins,american,95.83,139.93,188.95,2022-10-16,17:22:05
paleo,creamy yet cucumber salad,american,3.23,17.66,45.05,2022-10-16,17:22:12
paleo,bunless chicken blts,american,97.48,19.3,119.43,2022-10-16,17:22:12
paleo,frittata sweet potato sausage caramelized onions grain free,italian,126.61,109.21,188.1,2022-10-16,17:22:12
paleo,tangy bbq pulled pork,american,244.91,263.45,61.97,2022-10-16,17:22:12
paleo,crab cakes,french,97.65,19.1,76.38,2022-10-16,17:22:12
paleo,simple coleslaw,mediterranean,14.52,80.91,90.39,2022-10-16,17:22:12
paleo,ingredient chocolate walnut fudge vegan gluten free dairy free,american,48.8,126.11,160.21,2022-10-16,17:22:12
paleo,whole chicken salad,american,171.35,54.47,285.53,2022-10-16,17:22:12
paleo,flourless chocolate peppermint cake low carb,american,45.19,255.14,114.31,2022-10-16,17:22:12
paleo,fried fish sticks,french,106.13,43.27,214.62,2022-10-16,17:22:12
paleo,cheese stuffed meatballs,american,103.97,82.66,131.02,2022-10-16,17:22:12
paleo,shrimp bacon tomato pasta recip,italian,72.33,48.97,74.65,2022-10-16,17:22:12
paleo,primal organic chicken in wrap,american,37.07,50.05,35.2,2022-10-16,17:22:12
paleo,vegan cherry garcia ice cream,american,16.51,257.72,52.79,2022-10-16,17:22:12
paleo,peach blueberry cobbler,american,42.38,245.47,161.24,2022-10-16,17:22:12
paleo,sweet potato casserole,italian,38.03,1061.56,199.18,2022-10-16,17:22:18
paleo,crab cakes,american,32.3,14.14,106.85,2022-10-16,17:22:18
paleo,cinnamon raisin bread pudding,british,74.2,336.36,139.83,2022-10-16,17:22:18
paleo,chicken piccata,french,38.49,111.57,127.66,2022-10-16,17:22:18
paleo,barbecue chicken casserole,italian,271.64,258.95,282.4,2022-10-16,17:22:18
paleo,baked ranch chicken tenders whole,american,105.57,129.65,146.59,2022-10-16,17:22:18
paleo,chocolate almond buttercream cups,american,27.72,280.99,138.5,2022-10-16,17:22:18
paleo,broccoli salad,american,33.1,59.46,126.68,2022-10-16,17:22:18
paleo,whole berry chicken salad,american,228.65,25.01,238.62,2022-10-16,17:22:18
paleo,cauliflower fried rice,chinese,26.48,44.85,16.65,2022-10-16,17:22:18
paleo,pumpkin bolognese,italian,83.7,41.66,96.89,2022-10-16,17:22:18
paleo,egg nog cake,british,62.83,159.42,66.35,2022-10-16,17:22:18
paleo,reeses cups,french,61.73,259.06,224.92,2022-10-16,17:22:25
paleo,cornbread stuffing,american,129.28,693.44,243.17,2022-10-16,17:22:25
paleo,sloppy joes whole,french,94.68,90.81,85.8,2022-10-16,17:22:25
paleo,no bake chocolate chip coconut bars,american,74.81,272.62,518.78,2022-10-16,17:22:25
paleo,portobello mushroom taco,italian,81.07,46.84,114.72,2022-10-16,17:22:25
paleo,bbq ranch meatloaf,american,173.86,79.71,130.88,2022-10-16,17:22:25
paleo,tuna taquitos,mexican,46.45,79.45,75.1,2022-10-16,17:22:25
paleo,chocolate coconut milk panna cotta,italian,23.39,101.95,147.65,2022-10-16,17:22:25
paleo,slow cooker honey peach chipotle meatballs gluten free,eastern europe,23.44,256.29,25.75,2022-10-16,17:22:25
paleo,roasted cabbage mustard seed dressing,mediterranean,4.18,14.45,50.79,2022-10-16,17:22:25
paleo,tuna spinach casserole,italian,84.76,50.54,92.11,2022-10-16,17:22:25
paleo,beef stroganoff,eastern europe,130.93,70.55,203.75,2022-10-16,17:22:25
paleo,slammin wild salmon wrap tumeric,nordic,95.18,45.51,55.22,2022-10-16,17:22:25
paleo,vietnamese spring rolls,south east asian,38.7,122.93,71.13,2022-10-16,17:22:25
paleo,banana muffins,american,52.77,99.46,150.99,2022-10-16,17:22:25
paleo,chicken shawarma,middle eastern,114.46,52.87,92.38,2022-10-16,17:22:25
paleo,spinach donuts,american,43.22,247.39,124.45,2022-10-16,17:22:25
paleo,strawberry pie,american,60.38,223.26,160.19,2022-10-16,17:22:32
paleo,quick salads,french,44.68,28.95,73.11,2022-10-16,17:22:32
paleo,chocolate custard or low carb,french,36.84,126.43,159.07,2022-10-16,17:22:32
paleo,pumpkin milkshake dairy free aip,american,21.77,88.19,168.04,2022-10-16,17:22:32
paleo,pistachio crumbed mushrooms low carb,british,47.75,59.33,157.69,2022-10-16,17:22:32
paleo,chocolate mousse cake dairy free raw dessert gluten free,american,48.81,278.15,264.65,2022-10-16,17:22:32
paleo,ground beef spaghetti squash skillet,italian,96.21,128.43,115.48,2022-10-16,17:22:32
paleo,fried green tomatoes,french,49.16,59.39,182.49,2022-10-16,17:22:32
paleo,dulce de leche ice cream,italian,14.38,177.86,141.1,2022-10-16,17:22:32
paleo,bbq jackfruit saute vegan,american,2.02,108.4,14.76,2022-10-16,17:22:32
paleo,minute asian zucchini noodles low carb,asian,13.86,37.92,7.02,2022-10-16,17:22:32
paleo,maple pecan latte mug cake,american,12.5,36.44,32.19,2022-10-16,17:22:32
paleo,beef stew,american,208.63,137.91,54.39,2022-10-16,17:22:32
paleo,no bake chocolate cashew coconut dessert that s healthy,american,27.93,87.43,751.19,2022-10-16,17:22:32
paleo,chicken herb salad low carb,american,81.02,9.13,109.01,2022-10-16,17:22:32
paleo,frozen chocolate custard low carb friendly,american,40.47,56.32,184.95,2022-10-16,17:22:38
paleo,ground beef spaghetti squash skillet,italian,96.21,128.43,115.48,2022-10-16,17:22:38
paleo,salted caramel bliss balls aka style truffles,french,58.09,221.62,168.29,2022-10-16,17:22:38
paleo,minute cashew chicken,american,189.22,139.79,190.27,2022-10-16,17:22:38
paleo,healthy buffalo turkey meatballs gf,american,107.96,14.59,67.22,2022-10-16,17:22:38
paleo,shepherd s pie cauliflower topping gaps grain free,american,110.14,57.66,168.1,2022-10-16,17:22:38
paleo,chocolate candied orange peel freezer fudge gf,american,60.59,289.03,220.89,2022-10-16,17:22:38
paleo,crockpot bbq pulled pork,american,403.14,254.68,412.96,2022-10-16,17:22:38
paleo,primal roast beast wrap,british,65.76,53.13,62.59,2022-10-16,17:22:38
paleo,chili over zero carb miracle rice,american,184.44,249.2,24.04,2022-10-16,17:22:38
paleo,saucy grilled pork chops,eastern europe,77.12,79.94,29.49,2022-10-16,17:22:38
paleo,orange five spice roasted chicken legs,mediterranean,677.22,41.71,686.9,2022-10-16,17:22:38
paleo,best beef enchiladas,mexican,116.96,182.48,163.36,2022-10-16,17:22:38
paleo,chicken taco meatballs gf,mexican,90.61,10.48,51.89,2022-10-16,17:22:38
paleo,smoky bbq chili,american,97.93,107.81,116.11,2022-10-16,17:22:38
paleo,collard green slaw super slaw,mediterranean,5.4,28.18,31.71,2022-10-16,17:22:45
paleo,blueberry chia seed coleslaw gf,american,12.01,80.23,53.09,2022-10-16,17:22:45
paleo,orange chicken grain free,french,191.91,161.86,143.79,2022-10-16,17:22:45
paleo,sneaky chocolate veggie cake option,american,96.82,335.74,291.09,2022-10-16,17:22:45
paleo,cauliflower fried rice,chinese,56.99,97.39,56.34,2022-10-16,17:22:45
paleo,caramel chocolate mousse vegan,american,38.1,270.02,232.58,2022-10-16,17:22:45
paleo,healthy fudge bites gluten free sugar free dairy free,american,8.38,178.34,297.71,2022-10-16,17:22:45
paleo,crab cakes low carb,french,94.1,15.58,63.84,2022-10-16,17:22:45
paleo,meatloaf,american,143.36,37.65,172.61,2022-10-16,17:22:45
paleo,ginger cake lemon coconut,french,59.12,86.59,200.92,2022-10-16,17:22:45
paleo,whole classic potato salad,mediterranean,32.03,272.41,57.65,2022-10-16,17:22:45
paleo,chocolate pistachio biscotti,italian,53.41,214.31,129.8,2022-10-16,17:22:45
paleo,sloppy joes sweet potatoes,american,90.72,202.74,106.32,2022-10-16,17:22:45
paleo,gluten free carrot cake vegan cheesecake,american,74.18,426.76,307.56,2022-10-16,17:22:45
paleo,chocolate chunk banana bread,american,81.41,257.6,233.5,2022-10-16,17:22:45
paleo,sweet sour pork,mediterranean,97.79,167.44,112.53,2022-10-16,17:22:45
paleo,egg salad lettuce wraps gf,american,31.06,10.09,50.9,2022-10-16,17:22:52
paleo,spaghetti squash soup pumpkin fall flavors gf vegan,american,42.79,175.5,44.84,2022-10-16,17:22:52
paleo,bbq beef pizza aip,italian,111.23,259.49,110.34,2022-10-16,17:22:52
paleo,approved classic chicken salad,american,37.0,58.18,212.82,2022-10-16,17:22:52
paleo,primal curried egg salad coconut wraps,american,22.37,38.14,42.75,2022-10-16,17:22:52
